pair_ID	sentence_A	parse_A	sentence_B	parse_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1	A group of kids is playing in a yard and an old man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS kids)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT a) (NN yard)))))) (CC and) (S (NP (DT an) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	A group of boys in a yard is playing and a man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NP (NNS boys)) (PP (IN in) (NP (DT a) (NN yard)))))) (VP (VBZ is) (VP (VBG playing)))) (CC and) (S (NP (DT a) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	NEUTRAL	4.5	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
2	A group of children is playing in the house and there is no man standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS children)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT the) (NN house)))))) (CC and) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT no) (NN man) (NN standing)) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	A group of kids is playing in a yard and an old man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS kids)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT a) (NN yard)))))) (CC and) (S (NP (DT an) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	NEUTRAL	3.2	A_contradicts_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
3	The young boys are playing outdoors and the man is smiling nearby	(ROOT (S (S (NP (DT The) (JJ young) (NNS boys)) (VP (VBP are) (VP (VBG playing) (NP (NNS outdoors))))) (CC and) (S (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG smiling) (ADVP (RB nearby))))) (. .)))	The kids are playing outdoors near a man with a smile	(ROOT (S (NP (DT The) (NNS kids)) (VP (VBP are) (VP (VBG playing) (NP (NP (NNS outdoors)) (PP (IN near) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (DT a) (NN smile)))))))) (. .)))	ENTAILMENT	4.7	A_entails_B	B_entails_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
4	The young boys are playing outdoors and the man is smiling nearby	(ROOT (S (S (NP (DT The) (JJ young) (NNS boys)) (VP (VBP are) (VP (VBG playing) (NP (NNS outdoors))))) (CC and) (S (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG smiling) (ADVP (RB nearby))))) (. .)))	There is no boy playing outdoors and there is no man smiling	(ROOT (S (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN boy)) (VP (VBG playing) (NP (NNS outdoors)))))) (CC and) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT no) (NN man)) (VP (VBG smiling))))) (. .)))	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRIAL
5	The kids are playing outdoors near a man with a smile	(ROOT (S (NP (DT The) (NNS kids)) (VP (VBP are) (VP (VBG playing) (NP (NP (NNS outdoors)) (PP (IN near) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (DT a) (NN smile)))))))) (. .)))	A group of kids is playing in a yard and an old man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS kids)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT a) (NN yard)))))) (CC and) (S (NP (DT an) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
6	There is no boy playing outdoors and there is no man smiling	(ROOT (S (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN boy)) (VP (VBG playing) (NP (NNS outdoors)))))) (CC and) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT no) (NN man)) (VP (VBG smiling))))) (. .)))	A group of kids is playing in a yard and an old man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS kids)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT a) (NN yard)))))) (CC and) (S (NP (DT an) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TEST
7	A group of boys in a yard is playing and a man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NP (NNS boys)) (PP (IN in) (NP (DT a) (NN yard)))))) (VP (VBZ is) (VP (VBG playing)))) (CC and) (S (NP (DT a) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	The young boys are playing outdoors and the man is smiling nearby	(ROOT (S (S (NP (DT The) (JJ young) (NNS boys)) (VP (VBP are) (VP (VBG playing) (NP (NNS outdoors))))) (CC and) (S (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG smiling) (ADVP (RB nearby))))) (. .)))	NEUTRAL	3.7	A_neutral_B	B_neutral_A	The children are playing outdoors, while a man smiles nearby.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TEST
8	A group of children is playing in the house and there is no man standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS children)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT the) (NN house)))))) (CC and) (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT no) (NN man) (NN standing)) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	The young boys are playing outdoors and the man is smiling nearby	(ROOT (S (S (NP (DT The) (JJ young) (NNS boys)) (VP (VBP are) (VP (VBG playing) (NP (NNS outdoors))))) (CC and) (S (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG smiling) (ADVP (RB nearby))))) (. .)))	NEUTRAL	3	A_neutral_B	B_contradicts_A	The children are playing outdoors, while a man smiles nearby.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TEST
9	The young boys are playing outdoors and the man is smiling nearby	(ROOT (S (S (NP (DT The) (JJ young) (NNS boys)) (VP (VBP are) (VP (VBG playing) (NP (NNS outdoors))))) (CC and) (S (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG smiling) (ADVP (RB nearby))))) (. .)))	A group of kids is playing in a yard and an old man is standing in the background	(ROOT (S (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS kids)))) (VP (VBZ is) (VP (VBG playing) (PP (IN in) (NP (DT a) (NN yard)))))) (CC and) (S (NP (DT an) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))) (. .)))	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
10	A brown dog is attacking another animal in front of the tall man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ tall) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	A brown dog is attacking another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
